,year,input_string,sale_date,address,postal_code,ppr_county,price,not_full_market_price,vat_exclusive,description_of_property,property_size_description,date,formatted_address,accuracy,latitude,longitude,postcode,type,geo_county,electoral_district,electoral_district_id,region,small_area
109446,2015,"173 Burnell Court, Northern Cross, Malahide Road,Dublin,Ireland",01/05/2015,"173 Burnell Court, Northern Cross, Malahide Road",Dublin 17,Dublin,106230,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,01/05/2015,"Apartment 142, Burnell Court, Malahide Rd, Northern Cross, Dublin 17, Ireland",ROOFTOP,53.4047914,-6.1790387,,premise,Dublin City,Priorswood C,2082,Dublin,268119013/268119014
109460,2015,"174 Burnell Court, Northern Cross, Malahide Road,Dublin,Ireland",01/05/2015,"174 Burnell Court, Northern Cross, Malahide Road",Dublin 17,Dublin,106230,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,01/05/2015,"Apartment 142, Burnell Court, Malahide Rd, Northern Cross, Dublin 17, Ireland",ROOFTOP,53.4047914,-6.1790387,,premise,Dublin City,Priorswood C,2082,Dublin,268119013/268119014
109492,2015,"175 The Oaks, Carrington, Santry,Dublin,Ireland",28/04/2015,"175 The Oaks, Carrington, Santry",Dublin 9,Dublin,116157,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,28/04/2015,"Carrington, North Wood, Dublin 9, Ireland",ROOFTOP,53.4038562,-6.2525484,,premise,Fingal,Airport,4001,Dublin,267001010/03
109496,2015,"176 Burnell Court, Northern Cross, Malahide Road,Dublin,Ireland",01/05/2015,"176 Burnell Court, Northern Cross, Malahide Road",Dublin 17,Dublin,132787,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,01/05/2015,"Apartment 142, Burnell Court, Malahide Rd, Northern Cross, Dublin 17, Ireland",ROOFTOP,53.4047914,-6.1790387,,premise,Dublin City,Priorswood C,2082,Dublin,268119013/268119014
109513,2015,"177 Burnell Court, Northern Cross, Malahide Road,Dublin,Ireland",01/05/2015,"177 Burnell Court, Northern Cross, Malahide Road",Dublin 17,Dublin,106230,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,01/05/2015,"Apartment 142, Burnell Court, Malahide Rd, Northern Cross, Dublin 17, Ireland",ROOFTOP,53.4047914,-6.1790387,,premise,Dublin City,Priorswood C,2082,Dublin,268119013/268119014
109525,2015,"178 Burnell Court, Northern Cross, Malahide Road,Dublin,Ireland",01/05/2015,"178 Burnell Court, Northern Cross, Malahide Road",Dublin 17,Dublin,106230,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,01/05/2015,"Apartment 142, Burnell Court, Malahide Rd, Northern Cross, Dublin 17, Ireland",ROOFTOP,53.4047914,-6.1790387,,premise,Dublin City,Priorswood C,2082,Dublin,268119013/268119014
109546,2015,"179 Burnell Court, Northern Cross, Malahide Road,Dublin,Ireland",01/05/2015,"179 Burnell Court, Northern Cross, Malahide Road",Dublin 17,Dublin,132787,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,01/05/2015,"Apartment 142, Burnell Court, Malahide Rd, Northern Cross, Dublin 17, Ireland",ROOFTOP,53.4047914,-6.1790387,,premise,Dublin City,Priorswood C,2082,Dublin,268119013/268119014
109559,2015,"179 The Oaks, Carrington, Santry,Dublin,Ireland",28/04/2015,"179 The Oaks, Carrington, Santry",Dublin 9,Dublin,116157,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,28/04/2015,"Carrington, North Wood, Dublin 9, Ireland",ROOFTOP,53.4038562,-6.2525484,,premise,Fingal,Airport,4001,Dublin,267001010/03
109627,2015,"18 Apartments at Belleville, Blackhorse Avenue,Dublin,Ireland",29/05/2015,"18 Apartments at Belleville, Blackhorse Avenue",Dublin 7,Dublin,3718250,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,29/05/2015,"Apartment 18, Apartment 9, Bóthar Haddington, Tor an Bhacaigh, Dublin 4, Ireland",ROOFTOP,53.3362097,-6.2358029,,premise,Dublin City,Pembroke West A,2130,Dublin,268115019
109661,2015,"18 BRACKEN PARK CLOSE, CARPENTERSTOWN ROAD, CASTLEKNOCK,Dublin,Ireland",20/05/2015,"18 BRACKEN PARK CLOSE, CARPENTERSTOWN ROAD, CASTLEKNOCK",Dublin 15,Dublin,524229.07,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/05/2015,"Carpenterstown Road, Castleknock, Dublin, Ireland",GEOMETRIC_CENTER,53.3668103,-6.3707698,,route,Fingal,Castleknock-Knockmaroon,4016,Dublin,267040064
109671,2015,"18 Barnwell Way, Hansfield, Barnwell,Dublin,Ireland",17/12/2015,"18 Barnwell Way, Hansfield, Barnwell",Dublin 15,Dublin,254964,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,17/12/2015,"Dublin, Ireland",APPROXIMATE,53.3498053,-6.2603097,,"locality,political",Dublin City,North City,2075,Dublin,268106016
109677,2015,"18 Bracken View, Bracken Park, Castleknock,Dublin,Ireland",19/09/2015,"18 Bracken View, Bracken Park, Castleknock",Dublin 15,Dublin,260000,No,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,19/09/2015,"Castleknock, Co. Dublin, Ireland",APPROXIMATE,53.3736519,-6.3584191,,"locality,political",Fingal,Castleknock-Park,4017,Dublin,267041007
109681,2015,"18 Burnell Green, Northern Cross, Malahide Road,Dublin,Ireland",01/05/2015,"18 Burnell Green, Northern Cross, Malahide Road",Dublin 17,Dublin,106230,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,01/05/2015,"Apartment 74, Burnell Green, Malahide Rd, Northern Cross, Dublin 17, Ireland",ROOFTOP,53.4055046,-6.1790651,,premise,Dublin City,Priorswood C,2082,Dublin,268119015/268119016
109780,2015,"18 Dargan's Way, Railway Avenue, Sutton,Dublin,Ireland",12/11/2015,"18 Dargan's Way, Railway Avenue, Sutton",Dublin 13,Dublin,515418,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,12/11/2015,"Sutton, Co. Dublin, Ireland",APPROXIMATE,53.3895166,-6.1103064,,"locality,political",Fingal,Howth,4024,Dublin,267095020
109782,2015,"18 Diswellstown Green, Hamilton Park, Castleknock,Dublin,Ireland",17/12/2015,"18 Diswellstown Green, Hamilton Park, Castleknock",Dublin 15,Dublin,348000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,17/12/2015,"Castleknock, Co. Dublin, Ireland",APPROXIMATE,53.3736519,-6.3584191,,"locality,political",Fingal,Castleknock-Park,4017,Dublin,267041007
109783,2015,"18 Diswellstown Way, Hamilton Park, Castleknock,Dublin,Ireland",30/11/2015,"18 Diswellstown Way, Hamilton Park, Castleknock",Dublin 15,Dublin,348017,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,30/11/2015,"Castleknock, Co. Dublin, Ireland",APPROXIMATE,53.3736519,-6.3584191,,"locality,political",Fingal,Castleknock-Park,4017,Dublin,267041007
109843,2015,"18 Grange Hill, Harolds Grange Road, Rathfarnham,Dublin,Ireland",12/11/2015,"18 Grange Hill, Harolds Grange Road, Rathfarnham",Dublin 16,Dublin,533040,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,12/11/2015,"Grange Hill, Harold's Grange Rd, Sandyford, Dublin 18, Ireland",ROOFTOP,53.2674408,-6.2553239,,premise,Dn Laoghaire-Rathdown,Tibradden,5069,Dublin,267159002
109904,2015,"18 Knockree, Glenamuck Road, Carrickmines,Dublin,Ireland",05/10/2015,"18 Knockree, Glenamuck Road, Carrickmines",Dublin 18,Dublin,440088.3,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,05/10/2015,"Knockree, Glenamuck Rd, Dublin 18, Ireland",ROOFTOP,53.2506438,-6.1774173,,premise,Dn Laoghaire-Rathdown,Cabinteely-Loughlinstown,5020,Dublin,267038001
109949,2015,"18 Maxwell Road, Rathmines,Dublin,Ireland",18/12/2015,"18 Maxwell Road, Rathmines",Dublin 6,Dublin,770925,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,18/12/2015,"18 Maxwell Rd, Dublin 6, Ireland",ROOFTOP,53.317154,-6.2670387,,street_address,Dublin City,Rathmines West D,2141,Dublin,268135011
110003,2015,"18 Park Avenue, Clongriffin,Dublin,Ireland",09/01/2015,"18 Park Avenue, Clongriffin",Dublin 13,Dublin,237885.46,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,09/01/2015,"18 Park Ave, Grange, Dublin, Ireland",RANGE_INTERPOLATED,53.4042948,-6.1581104,,street_address,Dublin City,Grange B,2060,Dublin,268072013/01
110036,2015,"18 Rossan Court, Waterville,Dublin,Ireland",11/12/2015,"18 Rossan Court, Waterville",Dublin 15,Dublin,242145.58,Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,11/12/2015,"18 The Coppice, Woodfarm Acres, Dublin 20, D20 KD57, Ireland",ROOFTOP,53.3532132,-6.3785564,D20 KD57,street_address,South Dublin,Palmerston West,3020,Dublin,267109013
110074,2015,"18 Seascape, 366-368 Clontarf Road, Dublin 3,Dublin,Ireland",19/03/2015,"18 Seascape, 366-368 Clontarf Road, Dublin 3",Dublin 3,Dublin,770925,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,19/03/2015,"Seascapes, Clontarf Rd, Clontarf East, Dublin 3, Ireland",ROOFTOP,53.3597721,-6.1866796,,premise,Dublin City,Clontarf East B,2038,Dublin,268042005
110079,2015,"18 Stocking Well Close, Stocking Avenue, Rathfarnham,Dublin,Ireland",14/12/2015,"18 Stocking Well Close, Stocking Avenue, Rathfarnham",Dublin 16,Dublin,226806.16,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,14/12/2015,"Stocking Well Row, Ballycullen, Dublin, Ireland",GEOMETRIC_CENTER,53.2727917,-6.3193542,,route,South Dublin,Firhouse-Ballycullen,3012,Dublin,267085014/02
110122,2015,"18 The Alders, Carrington, Santry,Dublin,Ireland",28/04/2015,"18 The Alders, Carrington, Santry",Dublin 9,Dublin,147132,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,28/04/2015,"Santry, Co. Dublin, Ireland",APPROXIMATE,53.3978924,-6.256171,,"locality,political",Dublin City,Ballymun C,2017,Dublin,268017011
110160,2015,"18 WESTCOURTRYARD, TULLYVALE, CHERRYWOOD DUBLIN 18,Dublin,Ireland",27/02/2015,"18 WESTCOURTRYARD, TULLYVALE, CHERRYWOOD DUBLIN 18",Dublin 18,Dublin,374449,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,27/02/2015,"18 W Courtyard, Dublin, Ireland",RANGE_INTERPOLATED,53.2485059,-6.1470349,,street_address,Dn Laoghaire-Rathdown,Cabinteely-Loughlinstown,5020,Dublin,267038010
110193,2015,"180  St. Margarets Road, Hampton Wood,Dublin,Ireland",06/01/2015,"180  St. Margarets Road, Hampton Wood",Dublin 11,Dublin,160352.43,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,06/01/2015,"180 St Margaret's Rd, Hampton Wood, Dublin 11, D11 A3W6, Ireland",ROOFTOP,53.4059827,-6.2847757,D11 A3W6,street_address,Dublin City,Ballymun A,2015,Dublin,268015005/268015014
110195,2015,"180 Burnell Court, Northern Cross, Malahide Road,Dublin,Ireland",01/05/2015,"180 Burnell Court, Northern Cross, Malahide Road",Dublin 17,Dublin,132787,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,01/05/2015,"Apartment 142, Burnell Court, Malahide Rd, Northern Cross, Dublin 17, Ireland",ROOFTOP,53.4047914,-6.1790387,,premise,Dublin City,Priorswood C,2082,Dublin,268119013/268119014
110204,2015,"180 The Oaks, Carrington, Santry,Dublin,Ireland",28/04/2015,"180 The Oaks, Carrington, Santry",Dublin 9,Dublin,147132,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,28/04/2015,"Carrington, North Wood, Dublin 9, Ireland",ROOFTOP,53.4038562,-6.2525484,,premise,Fingal,Airport,4001,Dublin,267001010/03
110207,2015,"181 Burnell Court, Northern Cross, Malahide Road,Dublin,Ireland",01/05/2015,"181 Burnell Court, Northern Cross, Malahide Road",Dublin 17,Dublin,106230,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,01/05/2015,"Apartment 142, Burnell Court, Malahide Rd, Northern Cross, Dublin 17, Ireland",ROOFTOP,53.4047914,-6.1790387,,premise,Dublin City,Priorswood C,2082,Dublin,268119013/268119014
110216,2015,"181 The Oaks, Carrington, Santry,Dublin,Ireland",28/04/2015,"181 The Oaks, Carrington, Santry",Dublin 9,Dublin,147132,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,28/04/2015,"Carrington, North Wood, Dublin 9, Ireland",ROOFTOP,53.4038562,-6.2525484,,premise,Fingal,Airport,4001,Dublin,267001010/03
110219,2015,"182 Burnell Court, Northern Cross, Malahide Road,Dublin,Ireland",01/05/2015,"182 Burnell Court, Northern Cross, Malahide Road",Dublin 17,Dublin,106230,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,01/05/2015,"Apartment 142, Burnell Court, Malahide Rd, Northern Cross, Dublin 17, Ireland",ROOFTOP,53.4047914,-6.1790387,,premise,Dublin City,Priorswood C,2082,Dublin,268119013/268119014
110237,2015,"182 The Oaks, Carrington, Santry,Dublin,Ireland",28/04/2015,"182 The Oaks, Carrington, Santry",Dublin 9,Dublin,147132,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,28/04/2015,"Carrington, North Wood, Dublin 9, Ireland",ROOFTOP,53.4038562,-6.2525484,,premise,Fingal,Airport,4001,Dublin,267001010/03
110239,2015,"183 Burnell Court, Northern Cross, Malahide Road,Dublin,Ireland",01/05/2015,"183 Burnell Court, Northern Cross, Malahide Road",Dublin 17,Dublin,132787,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,01/05/2015,"Apartment 142, Burnell Court, Malahide Rd, Northern Cross, Dublin 17, Ireland",ROOFTOP,53.4047914,-6.1790387,,premise,Dublin City,Priorswood C,2082,Dublin,268119013/268119014
110248,2015,"183 The Oaks, Carrington, Santry,Dublin,Ireland",28/04/2015,"183 The Oaks, Carrington, Santry",Dublin 9,Dublin,116157,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,28/04/2015,"Carrington, North Wood, Dublin 9, Ireland",ROOFTOP,53.4038562,-6.2525484,,premise,Fingal,Airport,4001,Dublin,267001010/03
110255,2015,"184 Burnell Court, Northern Cross, Malahide Road,Dublin,Ireland",01/05/2015,"184 Burnell Court, Northern Cross, Malahide Road",Dublin 17,Dublin,132787,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,01/05/2015,"Apartment 142, Burnell Court, Malahide Rd, Northern Cross, Dublin 17, Ireland",ROOFTOP,53.4047914,-6.1790387,,premise,Dublin City,Priorswood C,2082,Dublin,268119013/268119014
110266,2015,"184 St Margarets Road, Hampton Wood,Dublin,Ireland",08/05/2015,"184 St Margarets Road, Hampton Wood",Dublin 11,Dublin,180616,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,08/05/2015,"184 Hampton Wood Rd, Hampton Wood, Dublin 11, D11 RR68, Ireland",ROOFTOP,53.404433,-6.2841734,D11 RR68,street_address,Dublin City,Ballymun A,2015,Dublin,268015005/268015014
110267,2015,"184 The Oaks, Carrington, Santry,Dublin,Ireland",28/04/2015,"184 The Oaks, Carrington, Santry",Dublin 9,Dublin,147132,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,28/04/2015,"Carrington, North Wood, Dublin 9, Ireland",ROOFTOP,53.4038562,-6.2525484,,premise,Fingal,Airport,4001,Dublin,267001010/03
110281,2015,"185 The Oaks, Carrington, Santry,Dublin,Ireland",28/04/2015,"185 The Oaks, Carrington, Santry",Dublin 9,Dublin,147132,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,28/04/2015,"Carrington, North Wood, Dublin 9, Ireland",ROOFTOP,53.4038562,-6.2525484,,premise,Fingal,Airport,4001,Dublin,267001010/03
110289,2015,"186 The Oaks, Carrington, Santry,Dublin,Ireland",28/04/2015,"186 The Oaks, Carrington, Santry",Dublin 9,Dublin,147132,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,28/04/2015,"Carrington, North Wood, Dublin 9, Ireland",ROOFTOP,53.4038562,-6.2525484,,premise,Fingal,Airport,4001,Dublin,267001010/03
110306,2015,"188 Burnell Court, Northern Cross, Malahide road,Dublin,Ireland",01/05/2015,"188 Burnell Court, Northern Cross, Malahide road",Dublin 17,Dublin,132787,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,01/05/2015,"Apartment 142, Burnell Court, Malahide Rd, Northern Cross, Dublin 17, Ireland",ROOFTOP,53.4047914,-6.1790387,,premise,Dublin City,Priorswood C,2082,Dublin,268119013/268119014
110324,2015,"189 Burnell Court, Northern Cross, Malahide Road,Dublin,Ireland",01/05/2015,"189 Burnell Court, Northern Cross, Malahide Road",Dublin 17,Dublin,106230,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,01/05/2015,"Apartment 142, Burnell Court, Malahide Rd, Northern Cross, Dublin 17, Ireland",ROOFTOP,53.4047914,-6.1790387,,premise,Dublin City,Priorswood C,2082,Dublin,268119013/268119014
110339,2015,"18A Maxwell Road, Rathmines, Dublin 6,Dublin,Ireland",19/11/2015,"18A Maxwell Road, Rathmines, Dublin 6",Dublin 6,Dublin,731277.53,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,19/11/2015,"18 Maxwell Rd, Dublin 6, Ireland",ROOFTOP,53.317154,-6.2670387,,street_address,Dublin City,Rathmines West D,2141,Dublin,268135011
110347,2015,"19  39  41 & 42, The Mills   Twelfh Lock, Castleknock,Dublin,Ireland",29/05/2015,"19  39  41 & 42, The Mills   Twelfh Lock, Castleknock",Dublin 15,Dublin,856750,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,29/05/2015,"Calle 19, Cancún, Q.R., Mexico",GEOMETRIC_CENTER,21.1761675,-86.8338856,,route,NA,NA,NA,NA,NA
110357,2015,"19  Seascape, Clontarf Road,Dublin,Ireland",15/06/2015,"19  Seascape, Clontarf Road",Dublin 3,Dublin,660793,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,15/06/2015,"Seascapes, Clontarf Rd, Clontarf East, Dublin 3, Ireland",ROOFTOP,53.3597721,-6.1866796,,premise,Dublin City,Clontarf East B,2038,Dublin,268042005
110438,2015,"19 Barnwell Lane, Hansfield, Barnwell,Dublin,Ireland",30/07/2015,"19 Barnwell Lane, Hansfield, Barnwell",Dublin 15,Dublin,197698.23,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,30/07/2015,"Dublin, Ireland",APPROXIMATE,53.3498053,-6.2603097,,"locality,political",Dublin City,North City,2075,Dublin,268106016
110445,2015,"19 Bracken Park Close, Carpenterstown Road, Castleknock,Dublin,Ireland",11/12/2015,"19 Bracken Park Close, Carpenterstown Road, Castleknock",Dublin 15,Dublin,647576,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,11/12/2015,"Carpenterstown Road, Castleknock, Dublin, Ireland",GEOMETRIC_CENTER,53.3668103,-6.3707698,,route,Fingal,Castleknock-Knockmaroon,4016,Dublin,267040064
110446,2015,"19 Bracken View, Bracken Park, Carpenterstown Road  Castleknock,Dublin,Ireland",18/08/2015,"19 Bracken View, Bracken Park, Carpenterstown Road  Castleknock",Dublin 15,Dublin,268722.46,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,18/08/2015,"Carpenterstown Road, Castleknock, Dublin, Ireland",GEOMETRIC_CENTER,53.3668103,-6.3707698,,route,Fingal,Castleknock-Knockmaroon,4016,Dublin,267040064
110450,2015,"19 Burnell Green, Northern Cross, Malahide Road,Dublin,Ireland",01/05/2015,"19 Burnell Green, Northern Cross, Malahide Road",Dublin 17,Dublin,106230,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,01/05/2015,"Apartment 74, Burnell Green, Malahide Rd, Northern Cross, Dublin 17, Ireland",ROOFTOP,53.4055046,-6.1790651,,premise,Dublin City,Priorswood C,2082,Dublin,268119015/268119016
110522,2015,"19 Claremount, Carrickmines, Dublin 18,Dublin,Ireland",21/10/2015,"19 Claremount, Carrickmines, Dublin 18",Dublin 18,Dublin,940000,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,21/10/2015,"19 Claremount, Cabinteely, Dublin 18, D18 V6K1, Ireland",ROOFTOP,53.2612217,-6.1676571,D18 V6K1,street_address,Dn Laoghaire-Rathdown,Foxrock-Carrickmines,5054,Dublin,267088003
110600,2015,"19 HEATHFIELD PARK, CAPPAGH ROAD, FINGLAS,Dublin,Ireland",05/06/2015,"19 HEATHFIELD PARK, CAPPAGH ROAD, FINGLAS",Dublin 11,Dublin,198193.82,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,05/06/2015,"19 Heathfield Crescent, Heathfield View, Kildonan, Baile Átha Cliath 11, D11 X82H, Ireland",ROOFTOP,53.3952363,-6.3215584,D11 X82H,street_address,Fingal,The Ward,4041,Dublin,267158009
110612,2015,"19 Heywood Court, Northwood, Santry,Dublin,Ireland",06/05/2015,"19 Heywood Court, Northwood, Santry",Dublin 9,Dublin,99972,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,06/05/2015,"Santry, Co. Dublin, Ireland",APPROXIMATE,53.3978924,-6.256171,,"locality,political",Dublin City,Ballymun C,2017,Dublin,268017011
110740,2015,"19 Rossan Court, Waterville,Dublin,Ireland",11/12/2015,"19 Rossan Court, Waterville",Dublin 15,Dublin,242145.58,Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,11/12/2015,"19 The Coppice, Woodfarm Acres, Dublin 20, D20 HY01, Ireland",ROOFTOP,53.3535646,-6.3788595,D20 HY01,street_address,South Dublin,Palmerston West,3020,Dublin,267109014
110779,2015,"19 Stocking Well Close, Rathfarnham, Dublin 16,Dublin,Ireland",13/03/2015,"19 Stocking Well Close, Rathfarnham, Dublin 16",Dublin 22,Dublin,301696,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,13/03/2015,"19 Stocking Well Row, Ballycullen, Dublin, Ireland",RANGE_INTERPOLATED,53.2723443,-6.3201239,,street_address,South Dublin,Firhouse-Ballycullen,3012,Dublin,267085014/02
110827,2015,"19 The Alders, Carrington, Santry,Dublin,Ireland",28/04/2015,"19 The Alders, Carrington, Santry",Dublin 9,Dublin,147132,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,28/04/2015,"Santry, Co. Dublin, Ireland",APPROXIMATE,53.3978924,-6.256171,,"locality,political",Dublin City,Ballymun C,2017,Dublin,268017011
110833,2015,"19 The Grange, Harold's Grange Road, Rathfarnham,Dublin,Ireland",17/12/2015,"19 The Grange, Harold's Grange Road, Rathfarnham",Dublin 16,Dublin,506607.92,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,17/12/2015,"19 Harold's Grange Rd, Dublin, Ireland",RANGE_INTERPOLATED,53.2686225,-6.2593251,,street_address,Dn Laoghaire-Rathdown,Tibradden,5069,Dublin,267159002
110883,2015,"190 Burnell Court, Northern Cross, Malahide Road,Dublin,Ireland",01/05/2015,"190 Burnell Court, Northern Cross, Malahide Road",Dublin 17,Dublin,106230,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,01/05/2015,"Apartment 142, Burnell Court, Malahide Rd, Northern Cross, Dublin 17, Ireland",ROOFTOP,53.4047914,-6.1790387,,premise,Dublin City,Priorswood C,2082,Dublin,268119013/268119014
110895,2015,"191 Burnell Court, Northern Cross, Malahide Road,Dublin,Ireland",01/05/2015,"191 Burnell Court, Northern Cross, Malahide Road",Dublin 17,Dublin,132787,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,01/05/2015,"Apartment 142, Burnell Court, Malahide Rd, Northern Cross, Dublin 17, Ireland",ROOFTOP,53.4047914,-6.1790387,,premise,Dublin City,Priorswood C,2082,Dublin,268119013/268119014
110905,2015,"191 The Elms, Carrington, Santry,Dublin,Ireland",28/04/2015,"191 The Elms, Carrington, Santry",Dublin 9,Dublin,116157,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,28/04/2015,"Santry, Co. Dublin, Ireland",APPROXIMATE,53.3978924,-6.256171,,"locality,political",Dublin City,Ballymun C,2017,Dublin,268017011
110908,2015,"192 Burnell Court, Northern Court, Malahide Road,Dublin,Ireland",01/05/2015,"192 Burnell Court, Northern Court, Malahide Road",Dublin 17,Dublin,132787,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,01/05/2015,"Apartment 142, Burnell Court, Malahide Rd, Northern Cross, Dublin 17, Ireland",ROOFTOP,53.4047914,-6.1790387,,premise,Dublin City,Priorswood C,2082,Dublin,268119013/268119014
110924,2015,"193 Burnell Court, Northern Cross, Malahide Road,Dublin,Ireland",01/05/2015,"193 Burnell Court, Northern Cross, Malahide Road",Dublin 17,Dublin,106230,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,01/05/2015,"Apartment 142, Burnell Court, Malahide Rd, Northern Cross, Dublin 17, Ireland",ROOFTOP,53.4047914,-6.1790387,,premise,Dublin City,Priorswood C,2082,Dublin,268119013/268119014
110942,2015,"195 Burnell Court, Northern Cross, Malahide Road,Dublin,Ireland",01/05/2015,"195 Burnell Court, Northern Cross, Malahide Road",Dublin 17,Dublin,132787,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,01/05/2015,"Apartment 142, Burnell Court, Malahide Rd, Northern Cross, Dublin 17, Ireland",ROOFTOP,53.4047914,-6.1790387,,premise,Dublin City,Priorswood C,2082,Dublin,268119013/268119014
110951,2015,"195 The Elms, Carrington, Santry,Dublin,Ireland",28/04/2015,"195 The Elms, Carrington, Santry",Dublin 9,Dublin,116157,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,28/04/2015,"Santry, Co. Dublin, Ireland",APPROXIMATE,53.3978924,-6.256171,,"locality,political",Dublin City,Ballymun C,2017,Dublin,268017011
110992,2015,"199 The Elms, Carrington, Santry,Dublin,Ireland",28/04/2015,"199 The Elms, Carrington, Santry",Dublin 9,Dublin,116157,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,28/04/2015,"Santry, Co. Dublin, Ireland",APPROXIMATE,53.3978924,-6.256171,,"locality,political",Dublin City,Ballymun C,2017,Dublin,268017011
